GEOID20,STATEFP20,COUNTYFP20,NAME20,CountyName,SubdivisionName,SubdivisionType,SLDLST20,SLDUST20,CD116FP,SLDLST22,SLDUST22,CDNew,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_dem_cli,pre_16_rep_tru,uss_16_dem_mcg,uss_16_rep_too,atg_16_dem_sha,atg_16_rep_raf,uss_18_dem_cas,uss_18_rep_bar,gov_18_dem_wol,gov_18_rep_wag,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,nrv,ndv,Tot_2010_tot,Tot_2010_vap,Tot_2019_cvap
42001000170,42,001,FRANKLIN DISTRICT 01,Adams,Franklin,Township,091,033,13,91,33,13,2358,113,2133,22,3,22,0,1,64,1910,78,1756,18,3,15,0,1,39,297.7,766.6,308.1,754.3,312.9,782.6,319.5,583.2,330.8,571.9,767.8,306.2,577.5,325.1,,,691.7,313.8,2485,1935,1753
42001000190,42,001,FREEDOM,Adams,Freedom,Township,091,033,13,91,33,13,825,6,788,9,0,5,0,0,17,702,6,675,8,0,5,0,0,8,158.9,347.2,158.9,349.8,164.1,359.7,168.3,274.3,179.4,266.8,352.2,160.6,270.5,173.9,,,319.6,165.9,831,672,750
42001000200,42,001,GERMANY,Adams,Germany,Township,091,033,13,91,33,13,2844,57,2675,17,0,11,0,10,74,2290,35,2177,12,0,11,0,6,49,255.0,1028.0,268.0,956.0,297.0,999.0,302.0,798.0,336.0,771.0,994.3,273.3,784.5,319.0,,,910.4,291.6,2700,2050,2175
42001000260,42,001,HAMILTON,Adams,Hamilton,Township,193,033,13,193,33,13,2714,127,2510,10,3,18,0,0,46,2114,91,1983,9,3,13,0,0,15,286.0,1020.7,304.0,980.5,351.9,972.6,321.1,732.7,367.8,697.6,991.3,314.0,715.2,344.4,,,880.8,326.1,2530,1930,1928
42001000230,42,001,GETTYSBURG WARD 02,Adams,Gettysburg,Borough,091,033,13,91,33,13,3192,292,2434,165,25,171,2,14,89,2993,261,2321,150,25,166,2,10,58,855.0,327.0,772.0,409.0,770.0,432.0,672.0,193.0,689.0,174.0,389.3,799.0,183.5,680.5,,,307.0,751.6,3383,3166,3120
42001000270,42,001,HAMILTONBAN,Adams,Hamiltonban,Township,091,033,13,91,33,13,2300,50,2157,8,5,11,5,1,63,1891,34,1786,7,5,11,0,1,47,277.3,815.0,294.4,768.8,309.5,784.2,294.6,574.4,305.8,559.2,789.4,293.7,566.8,300.2,,,700.3,296.3,2372,1923,1665
42001000310,42,001,LATIMORE,Adams,Latimore,Township,193,033,13,193,33,13,2646,104,2426,12,3,9,0,16,76,2069,69,1929,6,3,9,0,14,39,317.8,1066.6,345.8,1053.7,368.7,1077.2,362.4,801.1,407.0,756.7,1065.8,344.1,778.9,384.7,,,951.1,360.4,2580,1966,2010
42001000320,42,001,LIBERTY,Adams,Liberty,Township,091,033,13,91,33,13,1376,11,1305,9,0,0,2,2,47,1107,6,1052,8,0,0,0,2,39,171.7,419.5,179.2,402.8,170.8,422.8,179.2,322.4,189.2,314.0,415.0,173.9,318.2,184.2,,,376.3,178.0,1237,992,1066
42001000330,42,001,LITTLESTOWN WARD 01,Adams,Littlestown,Borough,091,033,13,91,33,13,2470,76,2184,56,3,14,4,10,123,1875,53,1683,37,3,9,0,7,83,203.0,701.0,227.0,679.0,241.0,704.0,207.0,489.0,220.0,482.0,694.7,223.7,485.5,213.5,,,611.0,219.6,2421,1783,1799
42001000370,42,001,MENALLEN,Adams,Menallen,Township,193,033,13,193,33,13,3701,631,2913,33,13,15,0,16,80,2835,381,2343,20,13,12,0,16,50,387.3,1145.6,397.5,1112.0,420.7,1133.3,400.7,858.3,422.1,834.9,1130.3,401.8,846.6,411.4,,,1016.8,405.7,3515,2648,2583
